id_municipio,nome_municipio,ano,apgar1
3302007,Itaguaí,2012,8.05
3302007,Itaguaí,2013,8.2
3302007,Itaguaí,2014,8.07
3302007,Itaguaí,2015,8.25
3302007,Itaguaí,2016,8.3
3302007,Itaguaí,2017,8.29
3302007,Itaguaí,2018,8.4
3302007,Itaguaí,2019,8.45
3302007,Itaguaí,2020,8.45
3302056,Italva,2010,7.25
3302056,Italva,2011,6.91
3302056,Italva,2012,7.03
3302106,Itaocara,2010,8.43
3302106,Itaocara,2011,8.39
3302106,Itaocara,2012,8.53
3302106,Itaocara,2013,8.7
3302106,Itaocara,2014,8.94
3302106,Itaocara,2015,8.77
3302106,Itaocara,2016,8.26
3302106,Itaocara,2017,8.42
3302106,Itaocara,2018,8.39
3302106,Itaocara,2019,8.36
3302106,Itaocara,2020,8.54
3302205,Itaperuna,2010,8.09
3302205,Itaperuna,2011,8.13
3302205,Itaperuna,2012,8.23
3302205,Itaperuna,2013,8.3
3302205,Itaperuna,2014,8.26
3302205,Itaperuna,2015,8.23
3302205,Itaperuna,2016,8.17
3302205,Itaperuna,2017,7.95
3302205,Itaperuna,2018,7.98
3302205,Itaperuna,2019,7.93
3302205,Itaperuna,2020,8.02
3302254,Itatiaia,2010,8.02
3302254,Itatiaia,2011,8.14
3302254,Itatiaia,2012,8.31
3302254,Itatiaia,2013,7.83
3302254,Itatiaia,2014,8.2
3302254,Itatiaia,2015,8.0
3302254,Itatiaia,2016,7.71
3302254,Itatiaia,2017,8.65
3302254,Itatiaia,2018,8.59
3302254,Itatiaia,2019,8.13
3302254,Itatiaia,2020,8.43
3302270,Japeri,2010,7.95
3302270,Japeri,2011,7.99
3302270,Japeri,2012,8.0
3302270,Japeri,2014,0.0
3302270,Japeri,2017,9.0
3302270,Japeri,2019,8.0
3302270,Japeri,2020,6.0
3302304,Laje Do Muriaé,2010,8.58
3302304,Laje Do Muriaé,2011,8.42
3302304,Laje Do Muriaé,2012,8.69
3302304,Laje Do Muriaé,2013,8.71
3302304,Laje Do Muriaé,2014,8.8
3302304,Laje Do Muriaé,2015,8.91
3302304,Laje Do Muriaé,2016,8.75
3302304,Laje Do Muriaé,2017,8.82
3302304,Laje Do Muriaé,2018,8.49
3302304,Laje Do Muriaé,2019,8.36
3302304,Laje Do Muriaé,2020,8.54
3302403,Macaé,2010,8.34
3302403,Macaé,2011,8.41
3302403,Macaé,2012,8.42
3302403,Macaé,2013,8.45
3302403,Macaé,2014,8.44
3302403,Macaé,2015,8.32
3302403,Macaé,2016,8.35
3302403,Macaé,2017,8.41
3302403,Macaé,2018,8.56
3302403,Macaé,2019,8.47
3302403,Macaé,2020,8.48
3302452,Macuco,2011,8.0
3302452,Macuco,2019,8.0
3302502,Magé,2010,7.98
3302502,Magé,2011,7.98
3302502,Magé,2012,8.0
3302502,Magé,2013,8.06
3302502,Magé,2014,8.09
3302502,Magé,2015,8.02
3302502,Magé,2016,8.0
3302502,Magé,2017,8.0
3302502,Magé,2018,8.02
3302502,Magé,2019,7.99
3302502,Magé,2020,7.98
3302601,Mangaratiba,2010,7.67
3302601,Mangaratiba,2011,8.15
3302601,Mangaratiba,2012,8.18
3302601,Mangaratiba,2013,8.3
3302601,Mangaratiba,2014,8.44
3302601,Mangaratiba,2015,8.61
3302601,Mangaratiba,2016,8.46
3302601,Mangaratiba,2017,8.51
3302601,Mangaratiba,2018,8.7
3302601,Mangaratiba,2019,8.68
3302601,Mangaratiba,2020,8.75
3302700,Maricá,2010,7.92
3302700,Maricá,2011,8.67
3302700,Maricá,2012,7.44
3302700,Maricá,2013,7.5
3302700,Maricá,2014,9.33
3302700,Maricá,2015,6.78
3302700,Maricá,2016,9.33
3302700,Maricá,2017,8.0
3302700,Maricá,2018,9.4
3302700,Maricá,2019,8.51
3302700,Maricá,2020,8.38
3302809,Mendes,2012,7.0
3302809,Mendes,2013,8.0
3302809,Mendes,2014,7.0
3302809,Mendes,2018,4.5
3302809,Mendes,2019,9.0
3302858,Mesquita,2010,7.75
3302858,Mesquita,2011,7.82
3302858,Mesquita,2012,8.09
3302858,Mesquita,2013,8.27
3302858,Mesquita,2014,8.31
3302858,Mesquita,2015,8.35
3302858,Mesquita,2016,8.49
3302858,Mesquita,2017,8.58
3302858,Mesquita,2018,8.6
3302858,Mesquita,2019,8.53
3302858,Mesquita,2020,8.5
3302908,Miguel Pereira,2010,8.2
3302908,Miguel Pereira,2011,8.17
3302908,Miguel Pereira,2012,8.28
3302908,Miguel Pereira,2013,8.14
3302908,Miguel Pereira,2014,8.08
3302908,Miguel Pereira,2015,8.26
3302908,Miguel Pereira,2016,8.42
3302908,Miguel Pereira,2017,8.28
3302908,Miguel Pereira,2018,8.24
3302908,Miguel Pereira,2019,8.23
3302908,Miguel Pereira,2020,8.26
3303005,Miracema,2010,8.56
3303005,Miracema,2011,8.61
3303005,Miracema,2012,8.76
3303005,Miracema,2013,8.72
3303005,Miracema,2014,8.84
3303005,Miracema,2015,8.64
3303005,Miracema,2016,8.49
3303005,Miracema,2017,8.44
3303005,Miracema,2018,8.55
3303005,Miracema,2019,8.42
3303005,Miracema,2020,8.58
3303104,Natividade,2010,8.05
3303104,Natividade,2011,7.76
3303104,Natividade,2012,8.1
3303104,Natividade,2013,8.16
3303104,Natividade,2014,8.06
3303104,Natividade,2015,8.32
3303104,Natividade,2016,8.3
3303104,Natividade,2017,8.38
3303104,Natividade,2018,8.34
3303104,Natividade,2019,8.47
3303104,Natividade,2020,8.7
3303203,Nilópolis,2010,8.16
3303203,Nilópolis,2011,8.18
3303203,Nilópolis,2012,8.28
3303203,Nilópolis,2013,8.25
3303203,Nilópolis,2014,8.31
3303203,Nilópolis,2015,8.32
3303203,Nilópolis,2016,8.38
3303203,Nilópolis,2017,8.39
3303203,Nilópolis,2018,8.47
3303203,Nilópolis,2019,8.4
3303203,Nilópolis,2020,8.41
3303302,Niterói,2010,8.3
3303302,Niterói,2011,8.31
3303302,Niterói,2012,8.36
3303302,Niterói,2013,8.32
3303302,Niterói,2014,8.35
3303302,Niterói,2015,8.39
3303302,Niterói,2016,8.41
3303302,Niterói,2017,8.4
3303302,Niterói,2018,8.42
3303302,Niterói,2019,8.39
3303302,Niterói,2020,8.38
3303401,Nova Friburgo,2010,8.53
3303401,Nova Friburgo,2011,8.39
3303401,Nova Friburgo,2012,8.42
3303401,Nova Friburgo,2013,8.38
3303401,Nova Friburgo,2014,8.37
3303401,Nova Friburgo,2015,8.39
3303401,Nova Friburgo,2016,8.31
3303401,Nova Friburgo,2017,8.2
3303401,Nova Friburgo,2018,8.26
3303401,Nova Friburgo,2019,8.24
3303401,Nova Friburgo,2020,8.34
3303500,Nova Iguaçu,2010,7.77
3303500,Nova Iguaçu,2011,7.86
3303500,Nova Iguaçu,2012,7.87
3303500,Nova Iguaçu,2013,8.03
3303500,Nova Iguaçu,2014,8.1
3303500,Nova Iguaçu,2015,8.2
3303500,Nova Iguaçu,2016,8.21
3303500,Nova Iguaçu,2017,8.14
3303500,Nova Iguaçu,2018,8.11
3303500,Nova Iguaçu,2019,8.19
3303500,Nova Iguaçu,2020,8.18
3303609,Paracambi,2010,7.93
3303609,Paracambi,2011,7.97
3303609,Paracambi,2012,7.99
3303609,Paracambi,2013,7.96
3303609,Paracambi,2014,7.96
3303609,Paracambi,2015,7.97
3303609,Paracambi,2016,7.98
3303609,Paracambi,2017,7.98
3303609,Paracambi,2018,8.42
3303609,Paracambi,2019,8.69
3303609,Paracambi,2020,8.75
3303708,Paraíba Do Sul,2010,6.09
3303708,Paraíba Do Sul,2011,8.09
3303708,Paraíba Do Sul,2012,8.44
3303708,Paraíba Do Sul,2013,8.51
3303708,Paraíba Do Sul,2014,8.5
3303708,Paraíba Do Sul,2015,8.94
3303708,Paraíba Do Sul,2016,8.57
3303708,Paraíba Do Sul,2017,8.87
3303708,Paraíba Do Sul,2018,8.95
3303708,Paraíba Do Sul,2019,8.45
3303708,Paraíba Do Sul,2020,8.79
3303807,Paraty,2010,8.6
3303807,Paraty,2011,8.29
3303807,Paraty,2012,8.49
3303807,Paraty,2013,8.32
3303807,Paraty,2014,8.51
3303807,Paraty,2015,8.68
3303807,Paraty,2016,8.73
3303807,Paraty,2017,8.72
3303807,Paraty,2018,8.71
3303807,Paraty,2019,8.73
3303807,Paraty,2020,8.6
3303856,Paty Do Alferes,2013,8.0
3303856,Paty Do Alferes,2016,10.0
3303906,Petrópolis,2010,7.95
3303906,Petrópolis,2011,7.98
3303906,Petrópolis,2012,8.03
3303906,Petrópolis,2013,8.11
3303906,Petrópolis,2014,8.23
3303906,Petrópolis,2015,8.25
3303906,Petrópolis,2016,8.25
3303906,Petrópolis,2017,8.35
3303906,Petrópolis,2018,8.41
3303906,Petrópolis,2019,8.33
3303906,Petrópolis,2020,8.33
3303955,Pinheiral,2010,8.37
3303955,Pinheiral,2011,8.32
3303955,Pinheiral,2012,8.4
3303955,Pinheiral,2013,8.34
3303955,Pinheiral,2014,8.44
3303955,Pinheiral,2015,8.24
3303955,Pinheiral,2016,8.75
3303955,Pinheiral,2017,8.51
3303955,Pinheiral,2018,8.57
3303955,Pinheiral,2019,8.45
3303955,Pinheiral,2020,8.34
3304003,Piraí,2010,8.45
3304003,Piraí,2011,8.24
3304003,Piraí,2012,8.46
3304003,Piraí,2013,8.41
3304003,Piraí,2014,8.33
3304003,Piraí,2015,8.42
3304003,Piraí,2016,8.35
3304003,Piraí,2017,8.31
3304003,Piraí,2018,8.49
3304003,Piraí,2019,8.49
3304003,Piraí,2020,8.46
3304102,Porciúncula,2010,7.88
3304102,Porciúncula,2011,7.8
3304102,Porciúncula,2012,7.8
3304102,Porciúncula,2013,8.31
3304102,Porciúncula,2014,7.79
3304102,Porciúncula,2015,8.25
3304102,Porciúncula,2016,8.12
3304102,Porciúncula,2017,9.0
3304102,Porciúncula,2018,0.0
3304102,Porciúncula,2019,1.0
3304102,Porciúncula,2020,9.0
3304110,Porto Real,2010,8.19
3304110,Porto Real,2011,8.04
3304110,Porto Real,2012,8.14
3304110,Porto Real,2013,8.21
3304110,Porto Real,2014,8.5
3304110,Porto Real,2015,8.22
3304110,Porto Real,2016,8.21
3304110,Porto Real,2017,8.49
3304110,Porto Real,2018,8.43
3304110,Porto Real,2019,8.54
3304110,Porto Real,2020,8.34
3304128,Quatis,2010,9.0
3304128,Quatis,2011,9.25
3304128,Quatis,2012,9.0
3304128,Quatis,2013,9.0
3304128,Quatis,2015,9.0
3304128,Quatis,2016,7.5
3304144,Queimados,2010,7.93
3304144,Queimados,2011,7.91
3304144,Queimados,2012,7.95
3304144,Queimados,2013,7.97
3304144,Queimados,2014,8.14
3304144,Queimados,2016,8.0
3304144,Queimados,2017,0.0
3304144,Queimados,2018,8.75
3304144,Queimados,2019,9.0
3304144,Queimados,2020,8.2
3304151,Quissamã,2010,8.21
3304151,Quissamã,2011,8.19
3304151,Quissamã,2012,8.11
3304151,Quissamã,2013,8.06
3304151,Quissamã,2014,8.21
3304151,Quissamã,2015,8.12
3304151,Quissamã,2016,8.08
3304151,Quissamã,2017,8.29
3304151,Quissamã,2018,8.09
3304151,Quissamã,2019,8.01
3304151,Quissamã,2020,8.16
3304201,Resende,2010,8.1
3304201,Resende,2011,8.01
3304201,Resende,2012,8.1
3304201,Resende,2013,8.13
3304201,Resende,2014,8.21
